"CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","AUTHOR","BOOKTITLE","CHAPTER","CROSSREF","EDITION","EDITOR","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","KEYWORDS","URL","URLDATE","SOURCEID","ISBN","LANGUAGE","ABSTRACT","ISSN","SHORTTITLE","COLLABORATOR","COPYRIGHT","DOI","CFN","CLASS_LOC","DELIVERED","DOCUMENT_TYPE","FN","HHTYPE","INLG","LGCODE","MACRO_AREA","MPI_EVA_LIBRARY_SHELF","OCLC","SRC","SUBJECT_HEADINGS","LOCATION","GLOTTO","EXTRA_HASH","ASJP_NAME","AIATSIS_CALLNUMBER","AIATSIS_CODE","AIATSIS_REFERENCE_LANGUAGE","LANGUAGEID","MPIFN","OZBIB_ID","OZBIBREFTYPE","PUBLICATION","COUNTRY","SIL_ID","SUBJECT","OTHER_EDITIONS","FNNOTE","VARIETY","BESTTXT","LCCN","FILENAMES","ISO_CODE","OLAC_FIELD","REFDB_ID","WALS_CODE","AUTHOR_STATEMENT","NUMBEROFPAGES","OZBIBNOTE","LANGNOTE","LGFAMILY","ZURICHCODE","ZURICHNOTE","GULDEMANN_LOCATION","THESISTYPE","NOSHAREFN","PLACE","ABSTRACTNOTE","COLLECTION","DISPLAY"
"BOOK","stubbs_uto-aztecan_2011",NA,NA,"Stubbs, Brian D.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shumway Family History Services",NA,NA,"Uto-{Aztecan}: {A} comparative vocabulary",NA,NA,"2011","SR, UTO4, chih1238, kinbank",NA,NA,"UTO4","0-938717-76-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stubbs 2011"
"BOOK","diniz_os_1977","São Paulo",NA,"Diniz, Beatriz",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"OCLC: 4449928",NA,NA,NA,"Universidade de São Paulo, Faculdade de Filosofia, Letras e Ciências Humanas",NA,NA,"Os termos do parentesco em armênio",NA,NA,"1977","IE80, JC, ital1282, kinbank, nucl1235, port1283, stan1288, stan1290",NA,NA,"IE80",NA,"Portuguese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diniz 1977"
"BOOK","dumtragut_armenian_2009",NA,NA,"Dum-Tragut, Jasmine",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"Google-Books-ID: SGyop5guXDkC",NA,NA,NA,"John Benjamins Publishing",NA,NA,"Armenian: {Modern} {Eastern} {Armenian",NA,NA,"2009","IE186, Language Arts \\& Disciplines / Linguistics / General, indo1319, kinbank",NA,NA,"IE186","978-90-272-3814-6","en","This grammar of Modern Eastern Armenian gives a precise and explicit description of the Eastern Armenian language of the Republic of Armenia. It covers not only the normative tradition but, more importantly, also describes the colloquial language as it is used in Armenia today. With regard to methodological approach and terminology it fully meets the demands of modern general linguistics and typology. This grammar will be of interest not only to the specialised readership of descriptive and comparative linguists, of typologists and of armenologists, but to all those who would like to acquaint themselves with linguistic data from living Armenian. It will also be of use to students wishing to learn Modern Eastern Armenian and to lecturers in Modern Eastern Armenian language courses.",NA,"Armenian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dum-Tragut 2009"
"BOOK","basu_sociolinguistic_1974",NA,NA,"Basu, D. N",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A sociolinguistic study of {Indo}-{Aryan} {Kinship} terms",NA,NA,"1974","IE9, SP, assa1263, kinbank",NA,NA,"IE9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Basu 1974"
"MISC","ghurye_full_1962",NA,NA,"Ghurye",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Full text of ""{Family} {And} {Kin} {In} {Indo}-european {Culture} {Ed}.2nd",NA,NA,"1962","IE99, JC, assa1263, kinbank","https://archive.org/stream/in.ernet.dli.2015.100433/2015.100433.Family-And-Kin-In-Indo-european-Culture-Ed2nd\_djvu.txt","2019-06-18","IE99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ghurye 1962"
"BOOK","karve_kinship_1968",NA,NA,"Karve, Irawati Karmarkar",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia Publishing House",NA,NA,"Kinship organization in {India",NA,NA,"1968","DR7, biha1245, kinbank",NA,NA,"DR7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karve 1968"
"MISC","noauthor_lahnda_nodate",NA,NA,"NA",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"Citation Key Alias: vatasescu\\_assamese\\_nodate",NA,NA,NA,NA,NA,NA,"Lahnda {Structure",NA,NA,NA,"IE292, assa1263, indo1319, kinbank, lahn1241, mf, oriy1255, sind1272","http://www.ciil-lisindia.net/Lahnda/lah\_struct.html","2019-06-10","IE292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA n.d."
"ARTICLE","schwarzschild_controlled_1969-1",NA,NA,"Schwarzschild, L A (Luise Anna)",NA,NA,NA,NA,"NA",NA,NA,"Indo-Iranian Journal",NA,NA,NA,"1",NA,"35--37",NA,NA,NA,"A {Controlled} {Historical} {Reconstruction} of {Oriiya}, {Assamese}, {Bengali} and {Hindi",NA,"12","1969","IE224, MF, Peer reviewed, assa1263, beng1280, kinbank, oriy1255","http://search.ebscohost.com/login.aspx?direct=true\&db=rfh\&AN=ATLAn4054407\&site=ehost-live","2019-06-03","IE224",NA,NA,NA,"0019-7246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schwarzschild 1969"
"BOOK","kagaya_classified_1989",NA,NA,"Kagaya, Ryohei",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A {Classified} {Vocabulary} of the {Pare} {Language",NA,NA,"1989","AC94, LH, asut1235, kinbank",NA,NA,"AC94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kagaya 1989"
"ARTICLE","gifford_californian_1922",NA,NA,"Gifford, Edward Winslow",NA,NA,NA,NA,"NA",NA,NA,"University of California Publications in American Archaeology and Ethnology",NA,NA,NA,NA,NA,"1--285",NA,NA,NA,"Californian {Kinship} {Terminologies",NA,"18","1922","AET1, IC, hupa1239, kinbank",NA,NA,"AET1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gifford 1922"
"INCOLLECTION","khalilov_avar_2015-5","Leipzig",NA,"Khalilov, Madzhid; Lange, Stefan","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Avar ({Antsukh} dialect)",NA,NA,"2015","ETC, ND6, ancu1238, kinbank","http://ids.clld.org/contributions/29","2018-08-13","ND6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Khalilov & Lange 2015"
"INCOLLECTION","khalilov_avar_2015-3","Leipzig",NA,"Khalilov, Madzhid; Lange, Stefan","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Avar ({Batlukh} dialect)",NA,NA,"2015","ETC, ND11, batl1238, kinbank","http://ids.clld.org/contributions/26","2018-08-13","ND11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Khalilov & Lange 2015"
"INCOLLECTION","khalilov_avar_2015-2","Leipzig",NA,"Khalilov, Madzhid; Lange, Stefan","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Avar ({Hid} dialect)",NA,NA,"2015","ETC, ND18, hidd1238, kinbank","https://ids.clld.org/contributions/27","2018-08-14","ND18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Khalilov & Lange 2015"
"INCOLLECTION","khalilov_avar_2015","Leipzig",NA,"Khalilov, Madzhid; Schmidt, Claudia; Jung, Hagen; Lange, Stefan","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Avar",NA,NA,"2015","ETC, ND1, avar1256, kinbank","http://ids.clld.org/contributions/107","2018-07-12","ND1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Khalilov et al. 2015"
"INCOLLECTION","khalilov_avar_2015-1","Leipzig",NA,"Khalilov, Madzhid","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Avar ({Khunzakh} dialect)",NA,NA,"2015","ETC, ISO7, kinbank, kunz1243","http://ids.clld.org/contributions/321","2018-08-10","ISO7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Khalilov 2015"
"INCOLLECTION","key_avestan_2015","Leipzig",NA,"Key, Mary Ritchie","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Avestan",NA,NA,"2015","ETC, IE507, aves1237, kinbank","http://ids.clld.org/contributions/213","2018-08-07","IE507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Key 2015"
"ARTICLE","borges_aspectos_2006",NA,NA,"Borges, Monica Veloso",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aspectos fonologicos e morfossintaticos da lingua ava-canoeiro ({Tupi}-{Guarani})",NA,NA,"2006","IC, TP7, avac1239, kinbank","http://repositorio.unicamp.br/jspui/handle/REPOSIP/270406","2018-07-20","TP7",NA,"Português","Resumo: A língua Avá-Canoeiro, pertencente ao Subgrupo IV das línguas Tupi-Guarani , é falada por vinte e duas pessoas. A maioria desses indígenas vive na aldeia Canoanã, na Ilha do Bananal, a cinqüenta e quatro quilômetros da cidade de Formoso do Araguaia, no Estado do Tocantins. Há também uma família que mora na aldeia Javaé de Boto Velho, próxima ao município de Lagoa da Confusão, também na Ilha. Seis Avá-Canoeiro vivem na Terra Indígena próxima à cidade de Minaçu, em Goiás, localizada a oitenta quilômetros daquele município. Esta tese, cuja fundamentação teórica é a Tipologia Funcional, aborda aspectos fonológicos e morfossintáticos dessa língua brasileira pouquíssimo conhecida, bem como fornece ao leitor um panorama sobre a situação sociolingüística desse povo em nossos d as. São temas discutidos na parte relativa à fonologia: 1) os fonemas e seus alofones; 2) aspectos fonológicos diacrônicos; 3) processos fonológicos e morfofonológicos; 4) a constituição silábica; e 5) o padrão acentual. No que diz respeito à morfossintaxe, discuto: 1) as classes de palavras abertas (nome, verbo e advérbio) e fechadas (pronomes pessoais, demonstrativos, partículas e posposições); 2) as orações simples e coordenadas; 3) os tipos oracionais; 4) a ordem frasal; e 5) a hipótese de a língua ser de estrutura ativa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Borges 2006"
"ARTICLE","silva_cativando_2009",NA,NA,"Silva, Cristhian Teófilo da",NA,NA,NA,NA,"NA",NA,NA,NA,NA,"August",NA,NA,NA,NA,NA,NA,NA,"Cativando {Maira} : a sobrevivência avá-canoeiro no alto rio {Tocantins",NA,NA,"2009","IC, TP6, avac1239, kinbank","http://repositorio.unb.br/handle/10482/1568","2018-07-20","TP6",NA,"Português",NA,NA,"Cativando {Maira",NA,"Acesso Aberto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silva 2009"
"INCOLLECTION","briggs_ayoreo_2015","Leipzig",NA,"Briggs, Janet R.; Key, Mary Ritchie","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Ayoreo",NA,NA,"2015","IC, ZAM1, ayor1240, kinbank","http://ids.clld.org/contributions/297","2018-08-10","ZAM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Briggs & Key 2015"
"BOOK","geronimo_sanchez_diccionario_nodate","Mexico",NA,"Gerónimo Sánchez, Eutiquio; Jiminez Romero, Ezequiel; Tepole González, Ramón; Macuixtle Quiahua, Aquiles; Hernandez, Jorge Luis",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xochitlahtolli",NA,NA,"Diccionario {Nawatl} {Moderno",NA,NA,NA,"IC, UTO7, clas1250, kinbank","http://www.vcn.bc.ca/prisons/dicc-zon.pdf",NA,"UTO7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gerónimo Sánchez et al. n.d."
"BOOK","dunn_badimaya_1988",NA,NA,"Dunn, Leone",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Badimaya, a {Western} {Australian} language",NA,NA,"1988","CS, PN25, badi1246, kinbank",NA,NA,"PN25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn 1988"
"ARTICLE","bessong_modeformel_1983",NA,NA,"Bessong, D. P. Aroga; Mel'čuk, Igor A.",NA,NA,NA,NA,"NA",NA,NA,"Bulletin of the School of Oriental and African Studies, University of London",NA,NA,NA,"3",NA,"477--528",NA,NA,NA,"Un modèle formel de la conjugaison bafia (à l'indicatif)",NA,"46","1983","AC25, LH, bafi1243, kinbank","http://www.jstor.org/stable/618412","2017-09-12","AC25",NA,NA,NA,"0041-977X",NA,NA,NA,"10.2307/618412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bessong & Mel'čuk 1983"
"BOOK","guarisma_etudes_1969",NA,NA,"Guarisma, Gladys",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Etudes {Bafia",NA,NA,"1969","AC91, LH, bafi1243, kinbank",NA,NA,"AC91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guarisma 1969"
"INCOLLECTION","khalilov_bagvalal_2015","Leipzig",NA,"Khalilov, Madzhid; Lange, Stefan","The {Intercontinental} {Dictionary} {Series",NA,NA,NA,"Key, Mary Ritchie; Comrie, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max Planck Institute for Evolutionary Anthropology",NA,NA,"Bagvalal",NA,NA,"2015","ETC, ND10, bagv1239, kinbank","http://ids.clld.org/contributions/35","2018-08-13","ND10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Khalilov & Lange 2015"
"BOOK","harvey_bali_1997",NA,NA,"Harvey, T",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The {Bali} of {North} {Eastern} {Congo}-{Kinshasa",NA,NA,"1997","AC58, IC, LH, bali1274, bera1259, bila1255, kinbank",NA,NA,"AC58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey 1997"
"BOOK","ferraro_baluchi_1988",NA,NA,"Ferraro, Felicetta",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baluchi {Kinship} {Terminology",NA,NA,"1988","IE44, balo1260, kinbank",NA,NA,"IE44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ferraro 1988"
"BOOK","pehrson_social_1966",NA,NA,"Pehrson, Robert Niel",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chicago: Aldine Publishing Company",NA,NA,"The social organization of the {Marri} {Baluch",NA,NA,"1966","IE50, balo1260, east2304, kinbank, mf",NA,NA,"IE50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pehrson 1966"
"BOOK","weissleder_nomadic_2011",NA,NA,"Weissleder, Wolfgang",NA,NA,NA,NA,"NA",NA,NA,NA,NA,"June","Google-Books-ID: JRyqfpi5BKcC",NA,NA,NA,"Walter de Gruyter",NA,NA,"The {Nomadic} {Alternative}: {Modes} and {Models} of {Interaction} in the {African}-{Asian} {Deserts} and {Steppes",NA,NA,"2011","IE178, Social Science / Sociology / General, indo1319, kinbank",NA,NA,"IE178","978-3-11-081023-3","en",NA,NA,"The {Nomadic} {Alternative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weissleder 2011"
"BOOK","nchare_grammar_2012",NA,NA,"Nchare, Abdoulaye Laziz",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The {Grammar} of {Shupamen",NA,NA,"2012","AC4, CS, bamu1253, kinbank",NA,NA,"AC4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nchare 2012"
"BOOK","crowley_middle_1978","Canberra",NA,"Crowley, Terry",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australian Institute of Aboriginal Studies",NA,NA,"The middle {Clarence} dialects of {Bandjalang",NA,NA,"1978","CS, PN15, band1339, kinbank",NA,NA,"PN15","978-0-85575-065-7","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crowley 1978"
"BOOK","cunningham_description_1969","St. Lucia ; [Brisbane]",NA,"Cunningham, M. C.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"University of Queensland Press",NA,NA,"A description of the {Yugumbir} dialect of {Bandjalang",NA,NA,"1969","CS, PN9, band1339, kinbank",NA,NA,"PN9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cunningham 1969"
"BOOK","geytenbeek_gidabal_1971","Canberra",NA,"Geytenbeek, Brian; Geytenbeek, Helen",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australian Institute of Aboriginal Studies",NA,NA,"Gidabal grammar and dictionary",NA,NA,"1971","CS, PN16, band1339, kinbank",NA,NA,"PN16","978-0-85575-019-0","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geytenbeek & Geytenbeek 1971"
